,Country Name,Country Code_x,Indicator Name,Region,Income_Group,Sexo_o_clase,Edad,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,id,lon,lat
0,Aruba,ABW,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ABW,-69.9819,12.52018
1,Aruba,ABW,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ABW,-69.9819,12.52018
2,Aruba,ABW,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ABW,-69.9819,12.52018
3,Afganistán,AFG,Porcentaje de niños economicamente activos,Asia meridional,Países de ingreso bajo,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,9.3,,,,,,,,,,AFG,66.00416,33.83535
4,Afganistán,AFG,Porcentaje de niños economicamente activos,Asia meridional,Países de ingreso bajo,Hombre,7 a 14 años,,,,,,,,,,,,13.1,,,,,,,,,,AFG,66.00416,33.83535
5,Afganistán,AFG,Porcentaje de niños economicamente activos,Asia meridional,Países de ingreso bajo,Mujer,7 a 14 años,,,,,,,,,,,,5.1,,,,,,,,,,AFG,66.00416,33.83535
6,Angola,AGO,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,30.1,,,,,,,,,,,,,,,,,,,,AGO,17.53628,-12.29358
7,Angola,AGO,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre,7 a 14 años,,30.0,,,,,,,,,,,,,,,,,,,,AGO,17.53628,-12.29358
8,Angola,AGO,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Mujer,7 a 14 años,,30.1,,,,,,,,,,,,,,,,,,,,AGO,17.53628,-12.29358
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIA,-63.0634,18.22419
10,Albania,ALB,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,36.58605,,,,,22.0,,,,,5.5,,,,,,,,,,,ALB,20.04905,41.14278
11,Albania,ALB,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,41.1191,,,,,25.0,,,,,6.4,,,,,,,,,,,ALB,20.04905,41.14278
