,Country Name,Country Code_x,Indicator Name,Region,Income_Group,Sexo_o_clase,Edad,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Aruba,ABW,Esperanza de vida al nacer,America Latina y el Caribe,Ingreso alto,Hombre,Total,71.312,71.382,71.469,71.572,71.688,71.816,71.952,72.093,72.235,72.377,72.517,72.654,72.792,72.93,73.069,73.208,73.348,73.488,73.628,73.768,
1,Aruba,ABW,Esperanza de vida al nacer,America Latina y el Caribe,Ingreso alto,Mujer,Total,76.257,76.307,76.375,76.465,76.575,76.703,76.845,76.992,77.14,77.285,77.425,77.561,77.695,77.83,77.965,78.101,78.237,78.372,78.507,78.641,
2,Aruba,ABW,Tasa de fertilidad,America Latina y el Caribe,Ingreso alto,Mujer,15 a 19 años,43.593,42.356,41.119,39.6676,38.2162,36.7648,35.3134,33.862,32.792,31.722,30.652,29.582,28.512,27.3444,26.1768,25.0092,23.8416,22.674,21.1736,19.6732,
3,Aruba,ABW,Refugiados por pais,America Latina y el Caribe,Ingreso alto,de Origen,Total,,,,,,,,,,,,,,,,,,,,,
4,Aruba,ABW,Refugiados por pais,America Latina y el Caribe,Ingreso alto,de Asilo,Total,,,,,,,,,,,,,,,,,,,,,
5,Aruba,ABW,Desempleo,America Latina y el Caribe,Ingreso alto,Hombre,Total,,,,,,,,,,,,,,,,,,,,,
6,Aruba,ABW,Desempleo,America Latina y el Caribe,Ingreso alto,Mujer,Total,,,,,,,,,,,,,,,,,,,,,
7,Aruba,ABW,Tasa de Poblacion Activa,America Latina y el Caribe,Ingreso alto,Hombre,mayor 15 años,,,,,,,,,,,,,,,,,,,,,
8,Aruba,ABW,Tasa de Poblacion Activa,America Latina y el Caribe,Ingreso alto,Mujer,mayor 15 años,,,,,,,,,,,,,,,,,,,,,
9,Aruba,ABW,Tasa de Participacion en la fuerza laboral,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,15 a 64 años,,,,,,,,,,,,,,,,,,,,,
10,Aruba,ABW,Tasa de Participacion en la fuerza laboral,America Latina y el Caribe,Ingreso alto,Hombre,15 a 64 años,,,,,,,,,,,,,,,,,,,,,
11,Aruba,ABW,Tasa de Participacion en la fuerza laboral,America Latina y el Caribe,Ingreso alto,Mujer,15 a 64 años,,,,,,,,,,,,,,,,,,,,,
12,Aruba,ABW,Tasa de Participacion en la fuerza laboral,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,15 a 24 años,,,,,,,,,,,,,,,,,,,,,
13,Aruba,ABW,Tasa de Participacion en la fuerza laboral,America Latina y el Caribe,Ingreso alto,Hombre,15 a 24 años,,,,,,,,,,,,,,,,,,,,,
14,Aruba,ABW,Tasa de Participacion en la fuerza laboral,America Latina y el Caribe,Ingreso alto,Mujer,15 a 24 años,,,,,,,,,,,,,,,,,,,,,
15,Aruba,ABW,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
16,Aruba,ABW,Porcentaje de niños que solo trabajan,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
17,Aruba,ABW,Porcentaje de niños que solo trabajan,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
18,Aruba,ABW,Porcentaje de niños que solo trabajan,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
19,Aruba,ABW,Porcentaje de niños que solo trabajan y estudian,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
20,Aruba,ABW,Porcentaje de niños que solo trabajan y estudian,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
21,Aruba,ABW,Porcentaje de niños que solo trabajan y estudian,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
22,Aruba,ABW,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
23,Aruba,ABW,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
24,Aruba,ABW,Porcentaje de empleo vulnerable,America Latina y el Caribe,Ingreso alto,Hombre,Total,,,,,,,,,,,,,,,,,,,,,
25,Aruba,ABW,Porcentaje de empleo vulnerable,America Latina y el Caribe,Ingreso alto,Mujer,Total,,,,,,,,,,,,,,,,,,,,,
26,Aruba,ABW,Porcentaje de Prevalencia de VIH,America Latina y el Caribe,Ingreso alto,Hombre,15 a 24 años,,,,,,,,,,,,,,,,,,,,,
