,Country Name,Country Code_x,Indicator Name,Region,Income_Group,Sexo_o_clase,Edad,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15,Aruba,ABW,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
22,Aruba,ABW,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
23,Aruba,ABW,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
83,Angola,AGO,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,30.1,,,,,,,,,,,,,,,,,,,
90,Angola,AGO,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre,7 a 14 años,,30.0,,,,,,,,,,,,,,,,,,,
91,Angola,AGO,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Mujer,7 a 14 años,,30.1,,,,,,,,,,,,,,,,,,,
117,Albania,ALB,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,36.58605,,,,,22.0,,,,,5.5,,,,,,,,,,
124,Albania,ALB,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre,7 a 14 años,41.1191,,,,,25.0,,,,,6.4,,,,,,,,,,
125,Albania,ALB,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Mujer,7 a 14 años,31.84332,,,,,18.8,,,,,4.6,,,,,,,,,,
151,Andorra,AND,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
158,Andorra,AND,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
159,Andorra,AND,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
219,Emiratos Árabes Unidos,ARE,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
226,Emiratos Árabes Unidos,ARE,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
227,Emiratos Árabes Unidos,ARE,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
253,Argentina,ARG,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,12.9,,,,,,,,5.025251,,,,,,,,
260,Argentina,ARG,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre,7 a 14 años,,,,,15.7,,,,,,,,6.394649,,,,,,,,
261,Argentina,ARG,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Mujer,7 a 14 años,,,,,9.8,,,,,,,,3.486703,,,,,,,,
287,Armenia,ARM,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,9.9,,,,,,,,,,
